nombre,sector,precio,area,habitaciones,banos,parqueadero,fecha
NN,"Cumbayá, Quito",249.678,229,3,3 a 4 ,0.0,2021-10-02
NN,"Cumbayá, Quito",255.142,234,3,4 ,0.0,2021-10-02
NN,"Tumbaco, Quito",136.900,141,1,1 a 2 ,0.0,2021-10-02
NN,"Los Chillos, Quito",104.000,181,3,2 ,0.0,2021-10-02
NN,"Conocoto, Quito",76.077,82m²,2,2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",220.000,200,3,3 ,0.0,2021-10-02
NN,"Tumbaco, Quito",135.600,124,3,2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",235.107,280,3,3 ,0.0,2021-10-02
NN,"Puembo, Quito",117.500,116m²,3,2 ,0.0,2021-10-02
NN,"La Armenia, Quito",128.000,115,3,2 ,0.0,2021-10-02
"Casa 421 Mtrs, El Égrafo y Shyris, Ideal Para Oficinas o Vivienda","La Carolina, Quito",325.000,420,6,4,5.0,2021-10-02
Excelente Casa de Renta en Una de Las Mejores Urbanizaciones en Cumbaya!,"Cumbayá, Quito",1.300.000,1000,4,4,5.0,2021-10-02
Venta de Casa 3 D 220 m² Sector. La Armenia II,"La Armenia, Quito",135.000,220,3,2,1.0,2021-10-02
Casa - Estilo Minimalista Independiente $,"Los Chillos, Quito",229.999,420,3,3,3.0,2021-10-02
Vendo Oportunidad Casa en Sangolqui 137 m² $74.900,"Sangolqui, Quito",74.900,137,4,2,2.0,2021-10-02
"Casas en Venta Sector La Salle Casas 92 Mtrs, Terraza y Jardín, Crédito Vip","Los Chillos, Quito",77.000,92,3,2,2.0,2021-10-02
"Vendo Casas Residencial, Sector Armenia","Conocoto, Quito",126.000,12172,12,15,10.0,2021-10-02
Venta Casa de Lujo de 700 m² con 3 Dorm. Sector Cumbayá,"Cumbayá, Quito",1.700.000,700,3,4,2.0,2021-10-02
"Se Vende Casa en Sector Miravalle, Cumbaya, Urbanización Vista Grande 375 m²","Nayón - Tanda, Quito",328.500,375,3,2,2.0,2021-10-02
"Espectacular Casa N Venta, Sector El Bosque, 362 m². Areas Sociales","Norte de Quito, Quito",359.000,362,3,4,2.0,2021-10-02
Casa en Conjunto Cerrado por El Rancho San Francisco,"Cumbayá, Quito",340.000,380,3,3,3.0,2021-10-02
Casa de Venta 4 D La Armenia Sector. Cornejo Alto 1.395 m²,"La Armenia, Quito",410.000,1395,4,4,3.0,2021-10-02
"Hermosa Casa La Armenia 141 Mtrs, Amplio Jardín, Esquinera Puente 3","La Armenia, Quito",110.000,142,3,2,2.0,2021-10-02
Vendo Casa de 410 m² y un Departamento de 110 m² de Dos Dorm. en El Inca,"El Inca, Quito",280.000,500,6,6,7.0,2021-10-02
NN,"Tumbaco, Quito",124.000,176,3,2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",299.900,220,3,4 ,0.0,2021-10-02
NN,"Carapungo, Quito",64.157,63,2,2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",217.070,200,3,2 a 3 ,0.0,2021-10-02
NN,"Cumbayá, Quito",352.000,280,3,3 ,0.0,2021-10-02
NN,"Tumbaco, Quito",149.350,191,3,2 a 4 ,0.0,2021-10-02
NN,"Tumbaco, Quito",405.503,527,3,3 ,0.0,2021-10-02
NN,"Tumbaco, Quito",91.360,102m²,3,2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",418.000,521m²,3,4 ,0.0,2021-10-02
NN,"Conocoto, Quito",70.990,115m²,3,2 ,0.0,2021-10-02
De Venta Casa Sector Tanda - Rancho San Francisco Conjunto con Piscina,"Nayón - Tanda, Quito",230.000,299,3,2,2.0,2021-10-02
"Venta Casas 108 m² Habitables Patio Terraza y Parqueadero, Llano Grande","Llano Grande, Quito",84.900,168,3,2,1.0,2021-10-02
Casa en Venta Calderón,"Calderón, Quito",50.000,90,2,1,2.0,2021-10-02
Casas en Proyecto a Estrenar - San Juan de Calderón,"Calderón, Quito",50.640,81,3,2,1.0,2021-10-02
Vendo Casa Centro Histórico Sector La Loma Grande,"Centro de Quito, Quito",265.000,1385,5,5,6.0,2021-10-02
Casa con Locales Comerciales de Oportunidad en Av Diego de Vásquez,"Ponceano, Quito",225.000,575,3,3,2.0,2021-10-02
Casa de Venta Tumbaco La Morita,"Tumbaco, Quito",153.000,205,3,3,2.0,2021-10-02
"Scala Shopping, Casa 4 Dorm., Piscina, Promocion $289.000","Cumbayá, Quito",289.000,340,4,3,2.0,2021-10-02
Venta Casa de Lujo Jardines de La Pampa 482 m $355.000 Usd,"Mitad del Mundo, Quito",330.000,482,5,6,3.0,2021-10-02
"Casa de Lujo Dentro de Urbanización, Cumbayá Sector La Viña","Cumbayá, Quito",349.000,350,3,3,2.0,2021-10-02
"Miravalle, Moderna Casa 4 Alcobas con Baño, Piscina, Gimnacio $495.000","Miravalle, Quito",495.000,412,4,4,4.0,2021-10-02
Hermosa Casa por Estrenar Sector Miranda / Los Chillos,"Los Chillos, Quito",73.000,166,2,1,1.0,2021-10-02
Proyecto Campo Alegre - 56 Casas Vip - San Martín - Sur de Quito,"Sur de Quito, Quito",74.900,109,3,2,1.0,2021-10-02
Casa - Norte de Quito Urbanización El Condado,"Norte de Quito, Quito",250.000,220,3,3,2.0,2021-10-02
NN,"Sur de Quito, Quito",41.810,54,2,1 ,0.0,2021-10-02
NN,"Tumbaco, Quito",296.900,246,3,3 ,0.0,2021-10-02
NN,"Cumbayá, Quito",218.750,180,3,2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",240.000,210m²,3,3 ,0.0,2021-10-02
NN,"Cumbayá, Quito",252.038,183,3,2 a 3 ,0.0,2021-10-02
NN,"Pomasqui, Quito",63.800,65,2,1 a 2 ,0.0,2021-10-02
NN,"La Armenia, Quito",79.850,78m²,3,2 ,0.0,2021-10-02
NN,"Mitad del Mundo, Quito",66.500,69,3,2 ,0.0,2021-10-02
NN,"Conocoto, Quito",90.000,90,3,2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",227.000,225m²,3,3 ,0.0,2021-10-02
Venta. Casa. Cumbaya. Patio. Terraza.,"Cumbayá, Quito",221.000,275,3,2,2.0,2021-10-02
Casa - Tumbaco,"Tumbaco, Quito",185.000,176,3,2,2.0,2021-10-02
Casa Conjunto Privado Santa Rosa de Nayon,"Nayón - Tanda, Quito",251.000,335,4,4,2.0,2021-10-02
Hermosa Casa Moderna en Conjunto Tumbaco con Acceso a Rutaviva E Interoceanica,"Tumbaco, Quito",255.000,200,3,2,2.0,2021-10-02
"Compra Tu Casa Nueva Calderón, Visita La Casa Modelo.","Calderón, Quito",75.000,102,3,2,2.0,2021-10-02
Cumbaya Espectacular Casa Moderna Nueva Sector La Ceramica,"Tumbaco, Quito",560.000,1400,3,3,2.0,2021-10-02
Venta Dos Últimas Hermosas Casas Vip - Los Chillos,"Los Chillos, Quito",85.000,84,3,2,1.0,2021-10-02
"Hermosa Casa, 5 Dorm., Diseño Moderno Dentro de Urbanización!","Cumbayá, Quito",950.000,1250,5,6,3.0,2021-10-02
Casa de Lujo en Venta Urb. El Condado 516 m²,"El Condado, Quito",365.000,525,4,6,10.0,2021-10-02
"Casa en Venta, El Condado, 4 Dorm. con Baño","El Condado, Quito",340.000,525,4,4,10.0,2021-10-02
Casa - Tumbaco,"Tumbaco, Quito",220.000,200,3,3,2.0,2021-10-02
