"id","nombre","precio","sector","area","tipoVivienda","tipoOperacion","descripcion","localizacion"
"1","Terreno en venta en Quito","$ 1.180.000
                        ","Quito, Quito, Quito, Pichincha ","1.007 m²","Terreno","Venta","VENTA DE TERRENO EN LA CALLE FERNANDO AYARZA Y CALOS MONTUFAR SECTOR BELLAVISTA QUITO ECUADOR


PARA CONSTRUCTORES
PARA DIFERENTES NEGOCIOS
PARA EMPRESAS
PARA CENTROS DE SALUD
PARA CLINICAS
CASA DE ADULTOS MAYORES
PARA LOCALES
VIVIENDA


TIENE UN FRENTE DE 59 METROS

DOCUMENTACION EN REGLA

PRECIO USD. 1`180.000","Fernando Ayarza & Carlos Montufar, Quito, Ecuador"
"2","Terreno en venta en Quito","$ 135.000
                        ","Quito, Quito, Quito, Pichincha ","1.676 m²","Terreno","Venta","Propiedad en venta
extenso terreno con un metraje 1667mt2, optimo para pequeño proyecto inmobiliario, acceso exclusivo.
Valor $135.000.oo
Barrio Santa Martha alta de Chillogallo 
Incluye una casa
Sala comedor 
Cocina 
Baño
Luz, agua
A pocos metros del mercado Santa Marta, Cancha de fútbol, linea de corredor, a 5 minutos del parque de Chillogallo.","Calle O11J, Quito, ECU"
"3","Terreno en venta en Pomasqui","$ 84.900
                        ","Pomasqui, Pomasqui, Quito, Pichincha ","535 m²","Terreno","Venta","EN EL CENTRO DE POMÁSQUI SE VENDE TERRENO INDEPENDIENTE DE 535m2.

VALOR: $84.900

POSEE UNA EDIFICACIÓN DE 166.82m2 QUE COMPRENDE 3 PEQUEÑOS DEPARTAMENTOS Y TERRAZA. FRENTE DE 19.45 METROS.

A POCOS METROS DE LA AV. CÓRDOVA GALARZA Y DE LA ZONA COMERCIAL DE POMASQUI.","Pichincha, Quito, Pomasqui"
"4","Terreno en venta en Quito","$ 1.200.000
                        ","Quito, Quito, Quito, Pichincha ","760 m²","Terreno","Venta","Vendo Amplio Terreno de 760M2 con construcción de 544.05M2 para edificio de 8 pisos Más subsuelo","Bellavista, Quito, Ecuador"
"5","Terreno en venta en Cumbaya","$ 490.000
                        ","Cumbaya, Cumbaya, Quito, Pichincha ","1.167 m²","Terreno","Venta","Amplio terreno dentro de exclusiva urbanización
Venta: 490.000
Ubicación privilegiada sector Lumbisí 
alta plusvalía
1.167m2 
Seguridad privada y permanente
Áreas verdes, infantiles, de eventos y para mascotas
Cerca a los mejores colegios del sector
Acceso desde Ruta Viva e Interoceánica
A pocos minutos de centros comerciales, zona bancaria, restaurantes, etc.","Pichincha, Quito, Cumbaya"
"6","Terreno en venta en Quito","$ 1.200
                        ","Quito, Quito, Quito, Pichincha ","818 m²","Terreno","Venta","VENDO P
TERRENO  CENTRO NORTE DE QUITO ALTA PLUSVALÍA.
OPORTUNIDAD DE INVERSIÓN💫 

AVENIDA COLON Y 12 DE OCTUBRE, DIAGONAL AL REDONDEL ARTIJAS

CONTACTO SOLO PERSONAS SERIAS: ","Avenida Cristóbal Colón 2-88, Quito, ECU"
"7","Terreno en venta en Conocoto","$ 1.800.000
                        ","Conocoto, Conocoto, Quito, Pichincha ","25.000 m²","Terreno","Venta","SE VENDE INFRAESTRUCTURA DE PRIMER NIVEL PARA UNIDAD EDUCATIVA CON CAPACIDAD PARA 800-1000 ALUMNOS. (CICLOS PRE PRIMARIO, PRIMARIO, SECUNDARIO Y EDUCACIÓN REGULAR)
CARACTERÍSTICAS:

ÁREA: 25.000 m2
ÁREA DESTINADA A JUEGOS INFANTILES (3)
CANCHA DE FÚTBOL 11
CANCHA DE BÁSQUET CON GRADERÍO(2)
CANCHA DE VOLLEY (2)
PARQUEADEROS (40 AUTOS)
EDIFICIO ADMINISTRATIVO
EDIFICIO DE CAFETERÍA
TALLERES DE EXPRESIÓN PLÁSTICA Y MÚSICA
EDIFICACIONES SECCION INFANTIL (11 AULAS)
ADMINISTRACIÓN SECUNDARIA (5 OFICINAS)
EDIFICACIONES PARA LABORATIORIO SECCION BÁSICA (11 AULAS)
EDIFICIO TALLER CULTURA FISICA Y GIMNASIO
BATERÍAS SANITARIAS PARA TODAS LAS SECCIONES Y EDIFICIOS
EDIFICACIONES SECCION MEDIA (11 AULAS)
ECOGRANJA PARA CULTIVOS
CONSULTORIO MEDICO (1)
AULAS DE USO AUDIOVISUAL
JARDINES ORNAMENTADOS Y BIEN MANTENIDOS
CIRCULACIONES Y VEREDAS
CERRAMIENTOS PERIMATRALES","Conocoto, Quito, Ecuador"
"8","Terreno en venta en Quito","$ 3.494.515
                        ","Quito, Quito, Quito, Pichincha ","10.973 m²","Terreno","Venta","Terreno ubicado en la Av. Pedro Vicente Maldonado y Joaquín Gutierrez. (Sur de Quito) 
Sector: Entre Diario El Comercio y C.C. El Recreo.

Area del Terreno: 10.973 m2.
Area de Construcción: 4.948 m2.

Clasificación de Suelo: (SU) Suelo Urbano - Consolidado
Uso Suelo General: (M) Múltiple

Zonificación: A108 (A604-50%)
Zonificación Máxima: A114 (A606-50%)
Cos PB: 50%
Cos Total: 200-300%
Frente: 390.68 m.
Fondo: 28.09 m.
Número de Pisos: 4-6
Altura de Pisos: 16-24 m.

Retiro Frontal: 5m.
Retiro Lateral: 3m.
Retiro Posterior: 3m.
Entre Bloques: 6 m.
Factibilidad de Servicios: SI

Apropiado para Distribuidora de Vehículos, Supermercados, Locales Comerciales, Colegios, Universidades, Conjuntos Residenciales, Centros de Salud, Bodegas, Restaurantes, Farmacias o cualquier tipo de Comercio en General.

Precio: $3'494.515       $306/m2. (AVALÚO: PRETIUM EC. CIA. LTDA.)","Pedro Vicente Maldonado 47-173, Quito, ECU"
"9","Terreno en venta en Quito","$ 2.700.000
                        ","Quito, Quito, Quito, Pichincha ","232.363 m²","Terreno","Venta","Se vende terreno de 23,2 hectáreas con bosque de eucaliptos y espectacular vista, localizado al oeste de la Av. Simón Bolívar, en el sector de Grupo Hidráulico Importadora Cuñas, Grúas GK Servigrúas y Radar Hormigonera RV. Sector de despegue de los parapentes en el cerro Auqui Chico.

Localización en Google Maps: ","Quito, ECU"
"10","Terreno en venta en Alangasí","$ 170.000
                        ","Alangasí, Alangasí, Quito, Pichincha ","2.500 m²","Terreno","Venta","- Terreno esquinero de 2500 m2 totalmente plano
- Ubicado en Altos de Betania a 500 metros de la E35
-A 10 minutos del centro Comercial San Luis Shopping
- Adoquinado
- Soterramiento eléctrico
- Urbanización campestre
- Posibilidad de subdivisión en 2 lotes.","Pichincha, Quito, Alangasí"
