nombre,sector,precio,area,habitaciones,banos,parqueadero,fecha
NN,"Centro Norte, Quito",46.894,30,1,1 a 2 ,0.0,2021-10-02
NN,"La Carolina, Quito",109.772,43,1,1 a 2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",170.633,110,2,2 a 3 ,0.0,2021-10-02
NN,"Cumbayá, Quito",221.680,117,2,2 a 3 ,0.0,2021-10-02
NN,"Cumbayá, Quito",255.578,125,2,2 a 3 ,0.0,2021-10-02
NN,"Centro Norte, Quito",89.940,40,1,1 a 2 ,0.0,2021-10-02
NN,"Lumbisí, Quito",221.680,117,2,2 a 3 ,0.0,2021-10-02
NN,"La Carolina, Quito",130.674,64,1,1 a 2 ,0.0,2021-10-02
NN,"La Carolina, Quito",96.530,52,1,1 a 2 ,0.0,2021-10-02
NN,"Tumbaco, Quito",127.954,80,1,1 a 2 ,0.0,2021-10-02
"Depto. de 51,20 m² en El Sur de Quito, Chillogallo, en El Conj. Las Cuadras.","Sur de Quito, Quito",32.000,52,2,1,0.0,2021-10-02
Departamento en Quito Tenis en Venta 120.000 Negociables,"Quito Tenis, Quito",120.000,132,3,3,1.0,2021-10-02
Departamento 2 Dorm. Venta 801 Edificio Arbat Sector Rep. de El Salvador,"La Carolina, Quito",207.268,96,2baños,2estac.,0.0,2021-10-02
Departamento - Centro Norte,"Centro Norte, Quito",155.000,93,2,2,2.0,2021-10-02
Venta. Departamento. 3 Dorm.. con Salida A. Terraza. La Carolina,"La Carolina, Quito",145.000,180,3baños,2estac.,0.0,2021-10-02
Venta Departamento de Lujo 2 Dorm. Sector Quito Tenis,"Quito Tenis, Quito",157.490,98,2,2,1.0,2021-10-02
Departamento de Venta en Lomas de Monteserrin con Terraza y Espectacular Vista,"Monteserrín, Quito",248.000,269,3,3,2.0,2021-10-02
Departamento - Norte de Quito,"Norte de Quito, Quito",175.000,174,3,3,2.0,2021-10-02
Departamento Penthouse Vista Panorámica en Venta (Cumbayá / La Primavera),"Cumbayá, Quito",205.000,170,3,2,2.0,2021-10-02
Departamento - González Suárez,"González Suárez, Quito",138.000,65,1,1,1.0,2021-10-02
"Venta Departamento de 104,25 m² - Urb. El Condado. Dos Dorm..","El Condado, Quito",169.000,189,2,2,2.0,2021-10-02
Departamento en Quito,"González Suárez, Quito",359.900,181,3,2,2.0,2021-10-02
Departamento en Venta Ponceano Alto,"Norte de Quito, Quito",79.000,104,2,2,1.0,2021-10-02
Vendo Penthouse Duplex de Lujo de 300 m² (Av Gaspar de Villarroel),"El Batán, Quito",287.000,300,4,4,2.0,2021-10-02
NN,"Cumbayá, Quito",390.000,213m²,3,3 ,0.0,2021-10-02
NN,"Quito Tenis, Quito",213.446,105,0,0,0.0,2021-10-02
NN,"Centro Norte, Quito",96.530,52,1,1 a 2 ,0.0,2021-10-02
NN,"Granda Centeno, Quito",93.500,69,1,1 a 2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",74.000,48,1,1 a 2 ,0.0,2021-10-02
NN,"El Condado, Quito",78.900,68,1,1 a 2 ,0.0,2021-10-02
NN,"Centro Norte, Quito",115.000,85,1,1 a 2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",142.460,75,1,1 a 2 ,0.0,2021-10-02
NN,"Los Chillos, Quito",67.000,94,2,2 ,0.0,2021-10-02
NN,"Cumbayá, Quito",187.950,112,2,2 a 3 ,0.0,2021-10-02
"Departamentos en Venta, Tumbaco Edificio con Piscina","Tumbaco, Quito",120.000,80,2,2,2.0,2021-10-02
Venta Departamento Doble Altura Intervalles,"Tumbaco, Quito",278.000,227,2,2,2.0,2021-10-02
"Vendo Suite Amoblada, Cerca a La República del Salvador y La Carolina","La Carolina, Quito",89.500,73,1,1,1.0,2021-10-02
Venta Departamento de 3 Dorm. con Patios Interior y Exterior. Conjunto Alhambra del Edén,"Norte de Quito, Quito",77.000,147,3,2,1.0,2021-10-02
"Hermoso Departamento en Venta, Quito, 3 Dorm., Sector Ute","Centro Norte, Quito",149.000,144,3,2,2.0,2021-10-02
Hermoso Departamento 3d en El Mejor Edificio en Ponceano,"Ponceano, Quito",143.540,104,3,2,1.0,2021-10-02
Venta Hermoso Departamento $165.000 - Bellavista,"Centro Norte, Quito",165.000,146,2,2,1.0,2021-10-02
